translatedText,detectedSourceLanguage,input
Ajouter une catégorie,de,Kategorie hinzufÃ¼gen
affiche les catégories et les sous-catégories,de,zeigt Kategorien und Unterkategorien
créer une catégorie,de,Kategorie erstellen
Veuillez fournir les informations nécessaires pour ajouter des catégories ou des sous-catégories pour,de,Bitte geben Sie die notwendigen Informationen zum HinzufÃ¼gen von Kategorien oder Unterkategorien fÃ¼r
Nom de catégorie,de,Kategoriename
groupe de contrôle,de,Kontrollgruppe
groupe exécutif,de,ausfÃ¼hrende Gruppe
affecter un groupe,de,Gruppe zuweisen
Veuillez attribuer les membres du groupe pour cette catégorie.,de,Bitte ordnen Sie die Gruppenmitglieder fÃ¼r diese Kategorie zu.
enregistrer la catégorie,de,Kategorie speichern
Avorter,de,Abbrechen
Nom de la sous-catégorie,de,Name der Unterkategorie
sous-catégorie,de,Unterkategorie
Ajouter une sous-catégorie,de,Unterkategorie hinzufÃ¼gen
Suite,de,mehr
Afficher les catégories,de,Kategorien anzeigen
sous-catégories,de,Unter-Kategorien
Aucune sous-catégorie ajoutée,de,Keine Unterkategorie hinzugefÃ¼gt
Affiche les membres du groupe de vérification pour toutes les catégories,de,Zeigt die Mitglieder der prÃ¼fenden Gruppe fÃ¼r alle Kategorie
Membres du groupe examinateur,de,Mitglieder der prÃ¼fenden Gruppe
Membre du groupe exécutif,de,Mitglied der ausfÃ¼hrenden Gruppe
Afficher toutes les sous-catégories de,de,Anzeige aller Unterkategorien von
Affichage des membres du groupe d&#39;exécution,de,Anzeige der ausfÃ¼rhenden Gruppenmitglieder
Affiche les membres du groupe d&#39;exécution pour cette sous-catégorie,de,Zeigt die Mitglieder der ausfÃ¼hrenden Gruppe fÃ¼r diese Unterkategorie
Affiche les membres du groupe de direction de la catégorie,de,Zeigt die Mitglieder der ausfÃ¼hrenden Gruppe der Kategorie an
Affiche les membres du groupe de contrôle de la catégorie,de,Zeigt die Mitglieder der prÃ¼fenden Gruppe der Kategorie
Aucun membre du groupe d&#39;exécution ajouté,de,Kein Mitglieder der ausfÃ¼hrenden Gruppe hinzugefÃ¼gt
Aucun membre du groupe de vérification ajouté,de,Kein Mitglied der prÃ¼fenden Gruppe hinzugefÃ¼gt
Aucune catégorie ajoutée pour ce client.,de,Keine Kategorie fÃ¼r diesen Kunden hinzugefÃ¼gt.
mettre à jour la catégorie,de,Kategorie aktualisieren
mettre à jour la catégorie,de,Kategorie aktualisieren
Catégorie de client créée avec succès,de,Mandantenkategorie erfolgreich angelegt
Échec de la création de la catégorie client,de,Erstellen der Kundenkategorie fehlgeschlagen
Catégorie de client mise à jour avec succès,de,Kundenkategorie erfolgreich aktualisiert
Échec de la mise à jour de la catégorie client,de,Update der Kundenkategorie fehlgeschlagen
Organisation,fr,Organisation
Gérer votre organisation,de,Verwalten Sie Ihre Organisation
organisation de la recherche,de,Organisation suchen
Filtre,en,Filter
Chercher,de,Suche
Créer une organisation,de,Organsiation anlegen
Nom de l&#39;organisation,de,Name der Organisation
Organisation,fr,Organisation
Organisations-Nummer,fr,Organisations-Nummer
Coordonnées,da,Kontakt Information
Créé sur,de,Erstellt am
E-mail,it,E-Mail
le mot de passe,de,Passwort
Langue,de,Sprache
Mot de passe oublié?,de,Passwort vergessen?
Entrez l&#39;e-mail,de,E-Mail eingeben
Téléphoner,tr,Telefon
Rue,de,Strasse
rue no.,de,Strassen Nr.
ville,de,Stadt
Terre,en,Land
Avorter,de,Abbrechen
Enregistrer sur ordinateur,de,Speichern
code postal,de,Postleitzahl
Adresse et coordonnées,de,Adresse & Kontaktinformationen
Logo Organisation,fr,Logo Organisation
URL de la page Web,de,Web-Seiten-URL
Logiciel,en,Software
système opérateur,de,Betriebssystem
adhésion,de,Mitgliedschaft
informations générales,de,Allgemeine Informationen
Informations sur l&#39;organisation,de,Information zur Organisation
Créez une organisation pour votre application.,de,Erstellen Sie eine Organisation fÃ¼r Ihre Anwendung.
Organisation hinzufÃ¼gen,fr,Organisation hinzufÃ¼gen
Mettre à jour l&#39;organisation,de,Organisation aktualisieren
Détail,en,Detail
catégories,de,Kategorien
Formation,en,Training
Veuillez ajouter des fournisseurs,de,Bitte Lieferanten hinzufÃ¼gen
Ajouter des fournisseurs,de,Lieferanten hinzufÃ¼gen
Groupe de fournisseurs A,de,Lieferanten Gruppe A
Groupe de fournisseurs B,de,Lieferanten Gruppe B
Groupe de fournisseurs C,de,Lieferanten Gruppe C
Aucun fournisseur ajouté pour le moment,de,Noch kein Lieferant hinzugefÃ¼gt
Ajouter un fournisseur,de,Lieferant hinzufÃ¼gen
Veuillez ajouter le fournisseur de votre organisation.,de,Bitte fÃ¼gen Sie den Lieferanten fÃ¼r Ihre Organisation hinzu.
Ajouter un fournisseur,de,Lieferant hinzufÃ¼gen
Mettre à jour les informations du fournisseur,de,Lieferanteninformationen aktualisieren
Nom,en,Name
catégorie fournisseurs,de,Lieferanten Kategorie
Groupe de fournisseurs C,de,Lieferanten Gruppe C
Ignorer,de,Ignorieren
Et,fi,Ja
non,de,Nein
Voulez-vous vraiment supprimer ?,de,Wollen Sie wirklich lÃ¶schen?
Fournisseur ajouté avec succès.,de,Lieferant erfolgreich hinzugefÃ¼gt.
Échec de l&#39;ajout du fournisseur,de,HinzufÃ¼gen des Lieferanten fehlgeschlagen
Fournisseur mis à jour avec succès,de,Lieferant erfolgreich aktualisiert
La mise à jour du fournisseur a échoué,de,Aktualisierung des Lieferanten fehlgeschlagen
Fournisseur supprimé avec succès.,de,Lieferant erfolgreich gelÃ¶scht.
Échec de la suppression du fournisseur,de,Lieferant lÃ¶schen fehlgeschlagen
Organisation créée avec succès,de,Organisation erfolgreich angelegt
Échec de la création de l&#39;organisation,de,Organisation anlegen fehlgeschlagen
Organisation mise à jour avec succès,de,Organisation erfolgreich aktualisiert
Échec de la mise à jour de l&#39;organisation,de,Organisation Aktualisierung fehlgeschlagen
Personne de contact,sv,Kontaktperson
Nom de la personne à contacter,da,Name der Kontaktperson
numéro de téléphone,de,Telefonnummer
détails du contact,de,Kontaktdaten
Veuillez fournir les coordonnées de la personne à contacter.,de,Bitte geben Sie die Informationen der Kontaktperson an.
"Recherche via le nom de l&#39;organisation, les coordonnées et le numéro de client",de,"Suche Ã¼ber Organisationsname, Kontaktdaten und Kundennummer"
"Recherche par nom d&#39;organisation, coordonnées et numéro",de,"Suche nach Organisationsname, Kontaktdaten & Nummer"
Modifier les données de l&#39;organisation,de,Organisationsdaten bearbeiten
créer,de,erstellen
accéder à l&#39;application,de,Zugang zur Anwendung
Glisser-déposer ou sélectionner une image,de,Bild ziehen und ablegen oder auswÃ¤hlen
Maximale DateigrÃ¶sse,fr,Maximale DateigrÃ¶sse
Entrer l&#39;adresse,de,Adresse eingeben
Document,mt,Dokument
Nouveau,de,Neu
Classeur,de,Ordner
téléchargement de fichiers,de,Datei-Upload
assigner,de,zuweisen
Renommer,de,umbenennen
Télécharger,de,herunterladen
éliminer,de,entfernen
changer de couleur,de,Farbe Ã¤ndern
Chercher,de,Suche
KEY_MISSING,de,SCHLÃœSSEL_VERMISST
vue liste,de,Listenansicht
vue grille,de,Rasteransicht
Déposez les fichiers ici,de,Dateien hier ablegen
ou utilisez le bouton &quot;Nouveau&quot;,de,"oder benutzen Sie die SchaltflÃ¤che ""Neu"""
dossiers partagés,de,freigegebene Ordner
Classeur,de,Ordner
Fichiers partagés,de,Freigegebene Dateien
des dossiers,de,Dateien
Nom,en,Name
Taper,sv,Typ
Grossesse,en,GrÃ¶sse
Créé sur,de,Erstellt am
nom du dossier,de,Name des Ordners
avorter,de,abbrechen
créer,de,erstellen
sélectionner un rôle,de,Rolle auswÃ¤hlen
sélectionner une personne spécifique,de,bestimmte Person auswÃ¤hlen
Aucune personne ajoutée,de,Keine Person hinzugefÃ¼gt
Choisissez parmi ceux existants,de,WÃ¤hlen Sie aus den vorhandenen
Faites glisser et déposez les fichiers sur ce champ pour les télécharger vers :,de,"Dateien auf dieses Feld ziehen und loslassen, um sie hochzuladen auf:"
mon lecteur,de,Mein Laufwerk
télécharger,de,Hochladen
Téléchargement(s) terminé(s),de,Upload(s) abgeschlossen
