translatedText,detectedSourceLanguage,input
Aggiungi categoria,de,Kategorie hinzufügen
mostra categorie e sottocategorie,de,zeigt Kategorien und Unterkategorien
crea categoria,de,Kategorie erstellen
Fornisci le informazioni necessarie per aggiungere categorie o sottocategorie,de,Bitte geben Sie die notwendigen Informationen zum Hinzufügen von Kategorien oder Unterkategorien für
Nome della categoria,de,Kategoriename
gruppo di controllo,de,Kontrollgruppe
gruppo esecutivo,de,ausführende Gruppe
assegnare il gruppo,de,Gruppe zuweisen
Si prega di assegnare i membri del gruppo per questa categoria.,de,Bitte ordnen Sie die Gruppenmitglieder für diese Kategorie zu.
salva categoria,de,Kategorie speichern
Aborto,de,Abbrechen
Nome della sottocategoria,de,Name der Unterkategorie
sottocategoria,de,Unterkategorie
Aggiungi sottocategoria,de,Unterkategorie hinzufügen
di pi�,de,mehr
Mostra categorie,de,Kategorien anzeigen
sottocategorie,de,Unter-Kategorien
Nessuna sottocategoria aggiunta,de,Keine Unterkategorie hinzugefügt
Mostra i membri del gruppo di controllo per tutte le categorie,de,Zeigt die Mitglieder der prüfenden Gruppe für alle Kategorie
Membri del gruppo di esame,de,Mitglieder der prüfenden Gruppe
Membro del gruppo esecutivo,de,Mitglied der ausführenden Gruppe
Visualizza tutte le sottocategorie di,de,Anzeige aller Unterkategorien von
Visualizzazione dei membri del gruppo in esecuzione,de,Anzeige der ausfürhenden Gruppenmitglieder
Mostra i membri del gruppo in esecuzione per questa sottocategoria,de,Zeigt die Mitglieder der ausführenden Gruppe für diese Unterkategorie
Visualizza i membri del gruppo esecutivo della categoria,de,Zeigt die Mitglieder der ausführenden Gruppe der Kategorie an
Mostra i membri del gruppo di controllo della categoria,de,Zeigt die Mitglieder der prüfenden Gruppe der Kategorie
Nessun membro del gruppo in esecuzione aggiunto,de,Kein Mitglieder der ausführenden Gruppe hinzugefügt
Nessun membro del gruppo di controllo aggiunto,de,Kein Mitglied der prüfenden Gruppe hinzugefügt
Nessuna categoria aggiunta per questo cliente.,de,Keine Kategorie für diesen Kunden hinzugefügt.
categoria di aggiornamento,de,Kategorie aktualisieren
categoria di aggiornamento,de,Kategorie aktualisieren
Categoria cliente creata correttamente,de,Mandantenkategorie erfolgreich angelegt
Impossibile creare la categoria del cliente,de,Erstellen der Kundenkategorie fehlgeschlagen
Categoria cliente aggiornata correttamente,de,Kundenkategorie erfolgreich aktualisiert
Aggiornamento della categoria clienti non riuscito,de,Update der Kundenkategorie fehlgeschlagen
Organizzazione,fr,Organisation
Gestisci la tua organizzazione,de,Verwalten Sie Ihre Organisation
organizzazione di ricerca,de,Organisation suchen
Filtro,en,Filter
Cercare,de,Suche
Crea organizzazione,de,Organsiation anlegen
Nome dell&#39;organizzazione,de,Name der Organisation
Organizzazione,fr,Organisation
Organizzazioni-Numero,fr,Organisations-Nummer
Informazioni sui contatti,da,Kontakt Information
Creato,de,Erstellt am
E-Mail,it,E-Mail
parola d&#39;ordine,de,Passwort
linguaggio,de,Sprache
Ha dimenticato la password?,de,Passwort vergessen?
Inserisci l&#39;email,de,E-Mail eingeben
Telefono,tr,Telefon
Strada,de,Strasse
via numero.,de,Strassen Nr.
citt�,de,Stadt
Sbarcare,en,Land
Aborto,de,Abbrechen
Salva sul computer,de,Speichern
codice postale,de,Postleitzahl
Indirizzo e informazioni di contatto,de,Adresse & Kontaktinformationen
Logo dell&#39;organizzazione,fr,Logo Organisation
URL della pagina web,de,Web-Seiten-URL
Software,en,Software
sistema operativo,de,Betriebssystem
appartenenza,de,Mitgliedschaft
Informazione Generale,de,Allgemeine Informationen
Informazioni sull&#39;organizzazione,de,Information zur Organisation
Crea un&#39;organizzazione per la tua applicazione.,de,Erstellen Sie eine Organisation für Ihre Anwendung.
Organizzazione hinzuf�gen,fr,Organisation hinzufügen
Aggiorna organizzazione,de,Organisation aktualisieren
Dettaglio,en,Detail
categorie,de,Kategorien
Addestramento,en,Training
Si prega di aggiungere fornitori,de,Bitte Lieferanten hinzufügen
Aggiungi fornitori,de,Lieferanten hinzufügen
Gruppo fornitori A,de,Lieferanten Gruppe A
Gruppo fornitori B,de,Lieferanten Gruppe B
Gruppo fornitori C,de,Lieferanten Gruppe C
Nessun fornitore ancora aggiunto,de,Noch kein Lieferant hinzugefügt
Aggiungi fornitore,de,Lieferant hinzufügen
Aggiungi il fornitore per la tua organizzazione.,de,Bitte fügen Sie den Lieferanten für Ihre Organisation hinzu.
Aggiungi fornitore,de,Lieferant hinzufügen
Aggiorna le informazioni sui fornitori,de,Lieferanteninformationen aktualisieren
Nome,en,Name
categoria fornitori,de,Lieferanten Kategorie
Gruppo fornitori C,de,Lieferanten Gruppe C
Ignorare,de,Ignorieren
E,fi,Ja
No,de,Nein
Vuoi davvero eliminare?,de,Wollen Sie wirklich löschen?
Fornitore aggiunto correttamente.,de,Lieferant erfolgreich hinzugefügt.
Impossibile aggiungere il fornitore,de,Hinzufügen des Lieferanten fehlgeschlagen
Il fornitore � stato aggiornato correttamente,de,Lieferant erfolgreich aktualisiert
Aggiornamento del fornitore non riuscito,de,Aktualisierung des Lieferanten fehlgeschlagen
Fornitore eliminato con successo.,de,Lieferant erfolgreich gelöscht.
Eliminazione fornitore non riuscita,de,Lieferant löschen fehlgeschlagen
Organizzazione creata con successo,de,Organisation erfolgreich angelegt
Creazione organizzazione non riuscita,de,Organisation anlegen fehlgeschlagen
Organizzazione aggiornata con successo,de,Organisation erfolgreich aktualisiert
Aggiornamento dell&#39;organizzazione non riuscito,de,Organisation Aktualisierung fehlgeschlagen
Referente,sv,Kontaktperson
Nome della persona di contatto,da,Name der Kontaktperson
numero di telefono,de,Telefonnummer
dettagli del contatto,de,Kontaktdaten
Si prega di fornire le informazioni sulla persona di contatto.,de,Bitte geben Sie die Informationen der Kontaktperson an.
"Cerca per nome dell&#39;organizzazione, dettagli di contatto e numero cliente",de,"Suche über Organisationsname, Kontaktdaten und Kundennummer"
"Cerca per nome dell&#39;organizzazione, informazioni di contatto e numero",de,"Suche nach Organisationsname, Kontaktdaten & Nummer"
Modifica i dati dell&#39;organizzazione,de,Organisationsdaten bearbeiten
creare,de,erstellen
accedere all&#39;applicazione,de,Zugang zur Anwendung
Trascina e rilascia o seleziona l&#39;immagine,de,Bild ziehen und ablegen oder auswählen
Massimo Dateigrosse,fr,Maximale Dateigrösse
Inserisci indirizzo,de,Adresse eingeben
Documento,mt,Dokument
Nuovo,de,Neu
Raccoglitore,de,Ordner
upload di file,de,Datei-Upload
assegnare,de,zuweisen
rinominare,de,umbenennen
Scarica,de,herunterladen
rimuovere,de,entfernen
cambia colore,de,Farbe ändern
Cercare,de,Suche
CHIAVE_MANCANTE,de,SCHLÜSSEL_VERMISST
visualizzazione elenco,de,Listenansicht
vista a griglia,de,Rasteransicht
Trascina i file qui,de,Dateien hier ablegen
